Registros com >40h semanais ordenados por workclass:

?               | Bachelors       | 45h/semana
Private         | Bachelors       | 60h/semana
Private         | Bachelors       | 48h/semana
Private         | Some-college    | 45h/semana
Private         | Doctorate       | 50h/semana
Private         | Assoc-acdm      | 45h/semana
Private         | HS-grad         | 60h/semana
Private         | 10th            | 65h/semana
Private         | HS-grad         | 60h/semana
Private         | Some-college    | 45h/semana
Private         | Assoc-acdm      | 45h/semana
Private         | Some-college    | 52h/semana
Private         | 10th            | 75h/semana
Private         | Doctorate       | 60h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 45h/semana
Private         | Bachelors       | 60h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 45h/semana
Private         | Some-college    | 45h/semana
Private         | Bachelors       | 48h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | Bachelors       | 70h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 70h/semana
Private         | Bachelors       | 45h/semana
Private         | Prof-school     | 45h/semana
Private         | 10th            | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | Masters         | 55h/semana
Private         | Masters         | 50h/semana
Private         | Masters         | 45h/semana
Private         | Some-college    | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 50h/semana
Private         | Some-college    | 45h/semana
Private         | Some-college    | 55h/semana
Private         | Masters         | 50h/semana
Private         | Masters         | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 52h/semana
Private         | Bachelors       | 50h/semana
Private         | Masters         | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 50h/semana
Private         | Some-college    | 45h/semana
Private         | Bachelors       | 45h/semana
Private         | Masters         | 55h/semana
Private         | Some-college    | 50h/semana
Private         | Assoc-acdm      | 55h/semana
Private         | 10th            | 45h/semana
Private         | HS-grad         | 49h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 45h/semana
Private         | Some-college    | 50h/semana
Private         | Bachelors       | 45h/semana
Private         | 10th            | 90h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 72h/semana
Private         | Assoc-voc       | 55h/semana
Private         | Prof-school     | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | Assoc-acdm      | 42h/semana
Private         | HS-grad         | 44h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 65h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 90h/semana
Private         | HS-grad         | 60h/semana
Private         | 10th            | 45h/semana
Private         | Some-college    | 48h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 45h/semana
Private         | Assoc-voc       | 60h/semana
Private         | 11th            | 48h/semana
Private         | HS-grad         | 50h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 65h/semana
Private         | HS-grad         | 65h/semana
Private         | Assoc-voc       | 45h/semana
Private         | Bachelors       | 55h/semana
Private         | 11th            | 75h/semana
Private         | HS-grad         | 48h/semana
Private         | HS-grad         | 99h/semana
Private         | HS-grad         | 60h/semana
Private         | Bachelors       | 45h/semana
Private         | 7th-8th         | 50h/semana
Private         | Doctorate       | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | 11th            | 45h/semana
Private         | Some-college    | 43h/semana
Private         | HS-grad         | 47h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 48h/semana
Private         | 7th-8th         | 45h/semana
Private         | Assoc-voc       | 45h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 49h/semana
Private         | HS-grad         | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | Bachelors       | 60h/semana
Private         | Assoc-voc       | 60h/semana
Private         | Prof-school     | 50h/semana
Private         | Bachelors       | 48h/semana
Private         | HS-grad         | 45h/semana
Private         | Prof-school     | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | Assoc-acdm      | 50h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | Bachelors       | 60h/semana
Private         | Bachelors       | 60h/semana
Private         | HS-grad         | 48h/semana
Private         | Some-college    | 42h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 45h/semana
Private         | Assoc-voc       | 75h/semana
Private         | HS-grad         | 52h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 45h/semana
Private         | 11th            | 60h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 55h/semana
Private         | Some-college    | 49h/semana
Private         | HS-grad         | 43h/semana
Private         | HS-grad         | 48h/semana
Private         | Some-college    | 55h/semana
Private         | HS-grad         | 60h/semana
Private         | 10th            | 70h/semana
Private         | Bachelors       | 55h/semana
Private         | 10th            | 50h/semana
Private         | Masters         | 60h/semana
Private         | 7th-8th         | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 45h/semana
Private         | 7th-8th         | 60h/semana
Private         | Assoc-acdm      | 60h/semana
Private         | Some-college    | 58h/semana
Private         | Some-college    | 55h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | Some-college    | 52h/semana
Private         | Bachelors       | 60h/semana
Private         | 7th-8th         | 60h/semana
Private         | Assoc-acdm      | 55h/semana
Private         | 12th            | 50h/semana
Private         | Some-college    | 45h/semana
Private         | HS-grad         | 84h/semana
Private         | Some-college    | 42h/semana
Private         | Some-college    | 45h/semana
Private         | Some-college    | 65h/semana
Private         | HS-grad         | 50h/semana
Private         | Some-college    | 43h/semana
Private         | Masters         | 50h/semana
Private         | HS-grad         | 43h/semana
Private         | HS-grad         | 48h/semana
Private         | 9th             | 70h/semana
Private         | 12th            | 48h/semana
Private         | Some-college    | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 55h/semana
Private         | HS-grad         | 60h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | 11th            | 45h/semana
Private         | Assoc-voc       | 44h/semana
Private         | Bachelors       | 52h/semana
Private         | HS-grad         | 50h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 48h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | Masters         | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 45h/semana
Private         | 11th            | 60h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | Some-college    | 50h/semana
Private         | Some-college    | 65h/semana
Private         | HS-grad         | 90h/semana
Private         | Some-college    | 60h/semana
Private         | Some-college    | 43h/semana
Private         | Bachelors       | 70h/semana
Private         | Some-college    | 60h/semana
Private         | Some-college    | 50h/semana
Private         | Some-college    | 44h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 60h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 70h/semana
Private         | HS-grad         | 48h/semana
Private         | Masters         | 45h/semana
Private         | Assoc-acdm      | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 44h/semana
Private         | Some-college    | 44h/semana
Private         | Some-college    | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | Some-college    | 41h/semana
Private         | HS-grad         | 48h/semana
Private         | HS-grad         | 50h/semana
Private         | Masters         | 60h/semana
Private         | Masters         | 50h/semana
Private         | Some-college    | 50h/semana
Private         | Assoc-acdm      | 46h/semana
Private         | Some-college    | 60h/semana
Private         | Doctorate       | 80h/semana
Private         | Masters         | 50h/semana
Private         | 7th-8th         | 75h/semana
Private         | Bachelors       | 43h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 48h/semana
Private         | Bachelors       | 45h/semana
Private         | Assoc-voc       | 45h/semana
Private         | Bachelors       | 55h/semana
Private         | Some-college    | 70h/semana
Private         | Assoc-acdm      | 50h/semana
Private         | Some-college    | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 45h/semana
Private         | Assoc-voc       | 43h/semana
Private         | HS-grad         | 50h/semana
Private         | Assoc-acdm      | 45h/semana
Private         | 10th            | 42h/semana
Private         | Some-college    | 45h/semana
Private         | Assoc-acdm      | 50h/semana
Private         | Doctorate       | 50h/semana
Private         | Assoc-voc       | 55h/semana
Private         | Bachelors       | 45h/semana
Private         | 9th             | 50h/semana
Private         | Some-college    | 60h/semana
Private         | Some-college    | 48h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 55h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 44h/semana
Private         | Assoc-voc       | 45h/semana
Private         | Masters         | 48h/semana
Private         | Bachelors       | 45h/semana
Private         | 5th-6th         | 50h/semana
Private         | Some-college    | 46h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | 7th-8th         | 48h/semana
Private         | Some-college    | 60h/semana
Private         | Masters         | 60h/semana
Private         | HS-grad         | 48h/semana
Private         | Bachelors       | 43h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 63h/semana
Private         | Some-college    | 43h/semana
Private         | Some-college    | 70h/semana
Private         | Some-college    | 45h/semana
Private         | Masters         | 50h/semana
Private         | Assoc-voc       | 50h/semana
Private         | 9th             | 45h/semana
Private         | HS-grad         | 55h/semana
Private         | Some-college    | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | Assoc-voc       | 99h/semana
Private         | Bachelors       | 70h/semana
Private         | Assoc-voc       | 42h/semana
Private         | Masters         | 45h/semana
Private         | Assoc-voc       | 53h/semana
Private         | Masters         | 50h/semana
Private         | HS-grad         | 48h/semana
Private         | Some-college    | 60h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 55h/semana
Private         | HS-grad         | 60h/semana
Private         | Some-college    | 50h/semana
Private         | Masters         | 43h/semana
Private         | Some-college    | 55h/semana
Private         | Masters         | 50h/semana
Private         | Doctorate       | 50h/semana
Private         | 9th             | 60h/semana
Private         | 10th            | 50h/semana
Private         | Some-college    | 45h/semana
Private         | HS-grad         | 44h/semana
Private         | HS-grad         | 44h/semana
Private         | 10th            | 50h/semana
Private         | 5th-6th         | 55h/semana
Private         | Some-college    | 75h/semana
Private         | Some-college    | 72h/semana
Private         | HS-grad         | 80h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 75h/semana
Private         | HS-grad         | 42h/semana
Private         | Some-college    | 80h/semana
Private         | Assoc-voc       | 45h/semana
Private         | 9th             | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | Prof-school     | 65h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 55h/semana
Private         | Bachelors       | 55h/semana
Private         | Assoc-voc       | 45h/semana
Private         | HS-grad         | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | 12th            | 50h/semana
Private         | 5th-6th         | 45h/semana
Private         | Some-college    | 45h/semana
Private         | Prof-school     | 99h/semana
Private         | Some-college    | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 80h/semana
Private         | HS-grad         | 50h/semana
Private         | Masters         | 50h/semana
Private         | Some-college    | 44h/semana
Private         | Some-college    | 84h/semana
Private         | Bachelors       | 42h/semana
Private         | 10th            | 48h/semana
Private         | Some-college    | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 99h/semana
Private         | HS-grad         | 60h/semana
Private         | HS-grad         | 46h/semana
Private         | 10th            | 80h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 84h/semana
Private         | Some-college    | 65h/semana
Private         | Assoc-acdm      | 42h/semana
Private         | Bachelors       | 43h/semana
Private         | 10th            | 45h/semana
Private         | Prof-school     | 60h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 44h/semana
Private         | Assoc-acdm      | 80h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 48h/semana
Private         | 7th-8th         | 60h/semana
Private         | 11th            | 45h/semana
Private         | Prof-school     | 72h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | Masters         | 55h/semana
Private         | Some-college    | 41h/semana
Private         | 10th            | 45h/semana
Private         | Bachelors       | 55h/semana
Private         | HS-grad         | 60h/semana
Private         | Assoc-acdm      | 47h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 90h/semana
Private         | Prof-school     | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | 10th            | 50h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 99h/semana
Private         | HS-grad         | 52h/semana
Private         | Some-college    | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | Assoc-voc       | 45h/semana
Private         | Assoc-acdm      | 45h/semana
Private         | Bachelors       | 48h/semana
Private         | Doctorate       | 80h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | Masters         | 60h/semana
Private         | 11th            | 65h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 47h/semana
Private         | 10th            | 60h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 55h/semana
Private         | HS-grad         | 52h/semana
Private         | 9th             | 50h/semana
Private         | HS-grad         | 48h/semana
Private         | HS-grad         | 60h/semana
Private         | 11th            | 43h/semana
Private         | Some-college    | 45h/semana
Private         | Some-college    | 45h/semana
Private         | Some-college    | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | 11th            | 48h/semana
Private         | 5th-6th         | 50h/semana
Private         | Assoc-voc       | 45h/semana
Private         | 5th-6th         | 72h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 60h/semana
Private         | Bachelors       | 42h/semana
Private         | Bachelors       | 52h/semana
Private         | Bachelors       | 60h/semana
Private         | HS-grad         | 45h/semana
Private         | Assoc-voc       | 50h/semana
Private         | Assoc-voc       | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 55h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 55h/semana
Private         | Masters         | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 44h/semana
Private         | Some-college    | 60h/semana
Private         | Assoc-voc       | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 45h/semana
Private         | Masters         | 50h/semana
Private         | Assoc-acdm      | 50h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 41h/semana
Private         | HS-grad         | 48h/semana
Private         | Some-college    | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 55h/semana
Private         | Assoc-acdm      | 60h/semana
Private         | Some-college    | 80h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | Assoc-voc       | 80h/semana
Private         | Some-college    | 55h/semana
Private         | Prof-school     | 47h/semana
Private         | Bachelors       | 50h/semana
Private         | Masters         | 50h/semana
Private         | Bachelors       | 70h/semana
Private         | 7th-8th         | 55h/semana
Private         | Assoc-acdm      | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | 5th-6th         | 51h/semana
Private         | Some-college    | 60h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | 10th            | 60h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | Assoc-acdm      | 50h/semana
Private         | Bachelors       | 55h/semana
Private         | HS-grad         | 60h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 55h/semana
Private         | Bachelors       | 45h/semana
Private         | 7th-8th         | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | Prof-school     | 75h/semana
Private         | Some-college    | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 48h/semana
Private         | HS-grad         | 44h/semana
Private         | Bachelors       | 60h/semana
Private         | Bachelors       | 65h/semana
Private         | Masters         | 48h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 55h/semana
Private         | HS-grad         | 43h/semana
Private         | Some-college    | 60h/semana
Private         | HS-grad         | 55h/semana
Private         | Assoc-acdm      | 52h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 46h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 55h/semana
Private         | Masters         | 50h/semana
Private         | Some-college    | 50h/semana
Private         | Some-college    | 46h/semana
Private         | 11th            | 45h/semana
Private         | HS-grad         | 54h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 44h/semana
Private         | HS-grad         | 44h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 60h/semana
Private         | Some-college    | 50h/semana
Private         | Masters         | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | 10th            | 45h/semana
Private         | Some-college    | 60h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 48h/semana
Private         | HS-grad         | 48h/semana
Private         | HS-grad         | 60h/semana
Private         | Bachelors       | 44h/semana
Private         | Prof-school     | 60h/semana
Private         | 5th-6th         | 45h/semana
Private         | Masters         | 65h/semana
Private         | Some-college    | 45h/semana
Private         | Some-college    | 43h/semana
Private         | Assoc-voc       | 48h/semana
Private         | Prof-school     | 50h/semana
Private         | Some-college    | 45h/semana
Private         | 7th-8th         | 48h/semana
Private         | HS-grad         | 58h/semana
Private         | Assoc-acdm      | 50h/semana
Private         | Some-college    | 50h/semana
Private         | Some-college    | 58h/semana
Private         | HS-grad         | 42h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 55h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 55h/semana
Private         | Some-college    | 45h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | Assoc-voc       | 60h/semana
Private         | HS-grad         | 70h/semana
Private         | HS-grad         | 60h/semana
Private         | 11th            | 55h/semana
Private         | Masters         | 55h/semana
Private         | Masters         | 50h/semana
Private         | 10th            | 50h/semana
Private         | Doctorate       | 55h/semana
Private         | Some-college    | 50h/semana
Private         | Some-college    | 50h/semana
Private         | Masters         | 50h/semana
Private         | 10th            | 50h/semana
Private         | Some-college    | 45h/semana
Private         | Bachelors       | 45h/semana
Private         | Some-college    | 48h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 60h/semana
Private         | Bachelors       | 45h/semana
Private         | 9th             | 45h/semana
Private         | Prof-school     | 60h/semana
Private         | Prof-school     | 50h/semana
Private         | HS-grad         | 55h/semana
Private         | 12th            | 50h/semana
Private         | HS-grad         | 48h/semana
Private         | HS-grad         | 44h/semana
Private         | Some-college    | 50h/semana
Private         | Some-college    | 50h/semana
Private         | 11th            | 42h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 45h/semana
Private         | Some-college    | 45h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | Some-college    | 80h/semana
Private         | HS-grad         | 45h/semana
Private         | Doctorate       | 60h/semana
Private         | Some-college    | 70h/semana
Private         | Assoc-voc       | 50h/semana
Private         | Masters         | 45h/semana
Private         | HS-grad         | 55h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 45h/semana
Private         | Assoc-voc       | 42h/semana
Private         | Masters         | 48h/semana
Private         | 11th            | 50h/semana
Private         | Doctorate       | 45h/semana
Private         | HS-grad         | 60h/semana
Private         | HS-grad         | 60h/semana
Private         | Some-college    | 45h/semana
Private         | 9th             | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 44h/semana
Private         | Masters         | 50h/semana
Private         | Bachelors       | 45h/semana
Private         | Some-college    | 60h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | Some-college    | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 44h/semana
Private         | Some-college    | 56h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 75h/semana
Private         | 10th            | 60h/semana
Private         | HS-grad         | 43h/semana
Private         | 11th            | 60h/semana
Private         | HS-grad         | 44h/semana
Private         | Some-college    | 65h/semana
Private         | 10th            | 50h/semana
Private         | Prof-school     | 70h/semana
Private         | HS-grad         | 41h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | Some-college    | 58h/semana
Private         | Bachelors       | 50h/semana
Private         | Masters         | 45h/semana
Private         | Some-college    | 45h/semana
Private         | Some-college    | 43h/semana
Private         | HS-grad         | 44h/semana
Private         | 7th-8th         | 50h/semana
Private         | HS-grad         | 55h/semana
Private         | HS-grad         | 80h/semana
Private         | Assoc-voc       | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | Assoc-voc       | 60h/semana
Private         | Bachelors       | 52h/semana
Private         | Bachelors       | 42h/semana
Private         | Masters         | 50h/semana
Private         | Prof-school     | 60h/semana
Private         | Some-college    | 60h/semana
Private         | HS-grad         | 60h/semana
Private         | Masters         | 50h/semana
Private         | HS-grad         | 44h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 89h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 45h/semana
Private         | Assoc-acdm      | 48h/semana
Private         | Assoc-voc       | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 55h/semana
Private         | Bachelors       | 60h/semana
Private         | HS-grad         | 48h/semana
Private         | HS-grad         | 56h/semana
Private         | Prof-school     | 50h/semana
Private         | Bachelors       | 65h/semana
Private         | HS-grad         | 44h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 48h/semana
Private         | Doctorate       | 50h/semana
Private         | HS-grad         | 53h/semana
Private         | Some-college    | 55h/semana
Private         | Bachelors       | 43h/semana
Private         | Bachelors       | 45h/semana
Private         | Some-college    | 60h/semana
Private         | Some-college    | 55h/semana
Private         | Some-college    | 50h/semana
Private         | Masters         | 50h/semana
Private         | Some-college    | 50h/semana
Private         | Some-college    | 60h/semana
Private         | 10th            | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 48h/semana
Private         | Bachelors       | 50h/semana
Private         | 7th-8th         | 60h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 60h/semana
Private         | Some-college    | 60h/semana
Private         | Prof-school     | 50h/semana
Private         | Some-college    | 46h/semana
Private         | Doctorate       | 45h/semana
Private         | Assoc-acdm      | 60h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 48h/semana
Private         | HS-grad         | 50h/semana
Private         | Assoc-voc       | 46h/semana
Private         | HS-grad         | 60h/semana
Private         | 7th-8th         | 45h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 60h/semana
Private         | Some-college    | 55h/semana
Private         | Bachelors       | 55h/semana
Private         | Assoc-voc       | 43h/semana
Private         | Masters         | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | Prof-school     | 45h/semana
Private         | Preschool       | 50h/semana
Private         | Assoc-voc       | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | Assoc-acdm      | 50h/semana
Private         | 7th-8th         | 50h/semana
Private         | HS-grad         | 48h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 45h/semana
Private         | Doctorate       | 60h/semana
Private         | Some-college    | 45h/semana
Private         | Masters         | 45h/semana
Private         | Bachelors       | 55h/semana
Private         | HS-grad         | 55h/semana
Private         | 7th-8th         | 42h/semana
Private         | Some-college    | 65h/semana
Private         | Some-college    | 50h/semana
Private         | 11th            | 45h/semana
Private         | Masters         | 45h/semana
Private         | 7th-8th         | 50h/semana
Private         | Bachelors       | 60h/semana
Private         | HS-grad         | 45h/semana
Private         | Masters         | 55h/semana
Private         | Doctorate       | 60h/semana
Private         | Some-college    | 45h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | HS-grad         | 59h/semana
Private         | Masters         | 45h/semana
Private         | Some-college    | 42h/semana
Private         | Some-college    | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 55h/semana
Private         | Some-college    | 49h/semana
Private         | Bachelors       | 50h/semana
Private         | Masters         | 65h/semana
Private         | HS-grad         | 48h/semana
Private         | HS-grad         | 65h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 80h/semana
Private         | Bachelors       | 60h/semana
Private         | 12th            | 50h/semana
Private         | Prof-school     | 60h/semana
Private         | 10th            | 84h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | 10th            | 55h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 65h/semana
Private         | Doctorate       | 52h/semana
Private         | 11th            | 50h/semana
Private         | 10th            | 60h/semana
Private         | HS-grad         | 45h/semana
Private         | Masters         | 65h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 50h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | 11th            | 58h/semana
Private         | HS-grad         | 60h/semana
Private         | Bachelors       | 50h/semana
Private         | Prof-school     | 60h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | Doctorate       | 45h/semana
Private         | Some-college    | 45h/semana
Private         | HS-grad         | 55h/semana
Private         | HS-grad         | 52h/semana
Private         | Some-college    | 60h/semana
Private         | Some-college    | 60h/semana
Private         | HS-grad         | 56h/semana
Private         | 7th-8th         | 60h/semana
Private         | Prof-school     | 50h/semana
Private         | Some-college    | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 60h/semana
Private         | Masters         | 66h/semana
Private         | Some-college    | 50h/semana
Private         | Bachelors       | 45h/semana
Private         | Masters         | 60h/semana
Private         | Some-college    | 47h/semana
Private         | Some-college    | 50h/semana
Private         | Some-college    | 50h/semana
Private         | Some-college    | 60h/semana
Private         | HS-grad         | 48h/semana
Private         | 7th-8th         | 48h/semana
Private         | Some-college    | 44h/semana
Private         | HS-grad         | 48h/semana
Private         | Some-college    | 45h/semana
Private         | Some-college    | 48h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 44h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 60h/semana
Private         | HS-grad         | 48h/semana
Private         | Some-college    | 58h/semana
Private         | Masters         | 60h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 55h/semana
Private         | HS-grad         | 55h/semana
Private         | Some-college    | 80h/semana
Private         | HS-grad         | 50h/semana
